churn_type,feature,evidence_type,segment,discovery_effect,validation_effect,validation_standardized_effect,validation_churn_value,validation_reference_value,validation_support,p_value,direction_replicated,discovery_rate,discovery_lift,discovery_support,q_value,validated,mean_abs_shap,mean_weighted_f1_permutation_drop
invol_churn,attempt_last_cvc_check,categorical_discovered_then_validated,unknown,,-0.5992787016629935,0.4007212983370066,0.09523809523809523,0.23766666666666666,21,0.12491755108821043,True,0.21322094747522047,0.8528837899008819,12813.0,0.17751441470429905,False,0.04617790322923513,0.003373799659583033
vol_churn,quiz_role,categorical_discovered_then_validated,educator,,0.39773651396042276,1.3977365139604228,0.3548387096774194,0.2538666666666667,31,0.1959887770206484,True,0.391304347826087,1.565217391304348,805.0,0.27136907587474396,False,0.011968666317682333,0.0006088170902563333
vol_churn,subscription_plan,categorical_discovered_then_validated,Higgsfield Basic,,0.026609314506718773,1.0266093145067188,0.26062188464277236,0.2538666666666667,4213,0.2348303006588298,False,0.25,1.0,16000.0,0.3170209058894202,False,0.027238170693994496,-0.0005111108010241668
vol_churn,quiz_usage_plan,categorical_discovered_then_validated,freelance,,0.046449897453581857,1.0464498974535819,0.265658747300216,0.2538666666666667,1389,0.28911656344822334,False,0.2191088654111162,0.8764354616444648,2177.0,0.3807876689318064,False,0.013342680030557934,0.00047340016732996663
invol_churn,failure_expired_card_count,numeric_predefined,all,-0.00016666666666666674,-0.0002622263012980202,-0.019617962934729026,0.0,0.0002622263012980202,3565,0.33365544520339285,True,,,,0.4271027475555629,False,2.2346439140508686e-06,0.0
invol_churn,failure_incorrect_cvc_count,numeric_predefined,all,0.0006000000000000001,-7.627732803535672e-05,-0.0014735109849504304,0.0008415147265077139,0.0009177920545430706,3565,0.3401003360164667,False,,,,0.4271027475555629,False,0.0,0.0
vol_churn,quiz_experience,categorical_discovered_then_validated,advanced,,-0.040283921787893306,0.9597160782121067,0.2436399217221135,0.2538666666666667,1022,0.43646833676382,True,0.2070874861572536,0.8283499446290143,1806.0,0.5356656860283245,False,0.0180432942208315,0.0017003917999840667
vol_churn,subscription_plan,categorical_discovered_then_validated,Higgsfield Pro,,0.03220478943022287,1.0322047894302229,0.26204238921001927,0.2538666666666667,1038,0.5304528673114158,False,0.25,1.0,4000.0,0.636543440773699,False,0.027238170693994496,-0.0005111108010241668
vol_churn,quiz_experience,categorical_discovered_then_validated,expert,,-0.019924938516874935,0.9800750614831251,0.24880838894184937,0.2538666666666667,1049,0.6962989337612022,True,0.24460093896713614,0.9784037558685446,2130.0,0.8117837602029111,False,0.0180432942208315,0.0017003917999840667
vol_churn,attempt_count,numeric_predefined,all,0.898,-0.05519171579737181,-0.038184150313929036,1.3684348739495797,1.4236265897469516,3808,0.7065525320284596,False,,,,0.8117837602029111,False,0.0002158300114318319,7.65433490525e-05
vol_churn,quiz_role,categorical_discovered_then_validated,developer,,-0.1559123649459785,0.8440876350540215,0.21428571428571427,0.2538666666666667,14,0.7335243856845606,False,0.4487534626038781,1.7950138504155124,722.0,0.8252149338951306,False,0.011968666317682333,0.0006088170902563333
vol_churn,subscription_plan,categorical_discovered_then_validated,Higgsfield Ultimate,,0.003768458022146426,1.0037684580221464,0.25482335254322225,0.2538666666666667,7982,0.7740256702921332,False,0.25,1.0,32000.0,0.8530078815464326,False,0.027238170693994496,-0.0005111108010241668
vol_churn,purchase_count,numeric_predefined,all,0.24949999999999994,-0.031113033583697103,-0.03402733996450919,1.2455357142857142,1.2766487478694113,3808,0.8988696687806972,False,,,,0.966056017828157,False,8.201487000344594e-05,0.0001167970096389854
vol_churn,quiz_missing_answers,numeric_predefined,all,0.42829999999999924,-0.08856497069786373,-0.04378742038281152,3.410451680672269,3.4990166513701326,3808,0.912386239059926,False,,,,0.966056017828157,False,0.0046246080070426335,-0.0004962241168975333
vol_churn,quiz_role,categorical_discovered_then_validated,prompt-engineer,,-0.015231092436974847,0.9847689075630252,0.25,0.2538666666666667,16,0.971636098339624,False,0.4397590361445783,1.7590361445783131,830.0,0.992206566798594,False,0.011968666317682333,0.0006088170902563333
vol_churn,quiz_usage_plan,categorical_discovered_then_validated,social,,-0.0010276947317390261,0.998972305268261,0.2536057692307692,0.2538666666666667,2496,0.9738323711171385,True,0.23197492163009403,0.9278996865203761,5104.0,0.992206566798594,False,0.013342680030557934,0.00047340016732996663
invol_churn,failure_insufficient_funds_count,numeric_predefined,all,0.0,0.0,0.0,0.0,0.0,3565,1.0,True,,,,1.0,False,0.0,0.0
