experiment,fold,train_users,tuning_users,evaluation_users,evaluation_start,evaluation_end,feature_count,best_iteration,decision_adjusted,weighted_f1,macro_f1,accuracy,not_churned_precision,not_churned_recall,not_churned_f1,not_churned_support,vol_churn_precision,vol_churn_recall,vol_churn_f1,vol_churn_support,invol_churn_precision,invol_churn_recall,invol_churn_f1,invol_churn_support
base_plus_cross_ratios,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,7,110,False,0.46896525793873767,0.40250547074966403,0.5259333333333334,0.5475624256837098,0.8589128697042366,0.6687759336099585,7506.0,0.43818849449204406,0.2036405005688282,0.27805825242718446,3516.0,0.45603015075376885,0.18250377073906485,0.26068222621184917,3978.0
base_plus_cross_ratios,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,7,155,False,0.4481127280684484,0.3833099101923619,0.5097333333333334,0.5284066997727463,0.8514851485148515,0.6521242339254181,7373.0,0.382031905961377,0.12323943661971831,0.18636084374360024,3692.0,0.47354771784232363,0.23202033036848793,0.31144465290806755,3935.0
full_without_quiz,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,82,299,False,0.5208477995712487,0.4607253423007587,0.5702,0.571341728180634,0.8764988009592326,0.6917617370274959,7506.0,0.6818181818181818,0.17064846416382254,0.272975432211101,3516.0,0.527447216890595,0.3453996983408748,0.41743885766367916,3978.0
full_without_quiz,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,82,219,False,0.47342713744952714,0.41153379339132395,0.5372666666666667,0.5394826412525527,0.8598942085989421,0.6630065359477124,7373.0,0.5822550831792976,0.0853196099674973,0.148830616583983,3692.0,0.51865533801256,0.3567979669631512,0.42276422764227645,3935.0
full_without_payment,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,71,294,False,0.5002858984089893,0.43623909714258846,0.5489333333333334,0.5749089890786895,0.8205435651478817,0.6761073604478841,7506.0,0.5564853556485355,0.11348122866894197,0.18851878100637845,3516.0,0.46946778711484594,0.4213172448466566,0.4440911499735029,3978.0
full_without_payment,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,71,125,False,0.4747392782064512,0.41348365691371863,0.5336666666666666,0.5433391003460207,0.8518920385189204,0.6634975967886758,7373.0,0.4921875,0.10238353196099675,0.16950672645739912,3692.0,0.5037425149700598,0.3420584498094028,0.40744664749508097,3935.0
full_without_signup_time,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,91,291,False,0.5212980216390146,0.4618560888266598,0.5676,0.5762558727864113,0.8497202238209433,0.6867664477226231,7506.0,0.6741854636591479,0.15301478953356087,0.24942049142327308,3516.0,0.5098915124441609,0.4017094017094017,0.44938132733408326,3978.0
full_without_signup_time,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,91,209,False,0.47311128163926586,0.4102470118515309,0.5394,0.5383201002925199,0.8735928387359284,0.6661495501085944,7373.0,0.5888888888888889,0.08613217768147345,0.1502835538752363,3692.0,0.5338677354709419,0.33850063532401525,0.41430793157076207,3935.0
full_raw,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,94,300,False,0.5178446055951718,0.4575625498519975,0.5654666666666667,0.573871776504298,0.8538502531308286,0.6864089107850487,7506.0,0.6798469387755102,0.15159271899886234,0.24790697674418605,3516.0,0.505249343832021,0.38712921065862244,0.43837176202675776,3978.0
full_raw,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,94,158,False,0.4730022260010179,0.4101216400425631,0.5388666666666667,0.5390166135257594,0.8712871287128713,0.6660100565030325,7373.0,0.573502722323049,0.08559046587215602,0.14895121376384635,3692.0,0.5306203081785855,0.3412960609911055,0.4154036498608104,3935.0
full_with_decision_adjustment,fold_1,30000,15000,15000,1067-10-14 06:31:12+00:00,1067-10-26 23:56:19+00:00,94,300,True,0.5324770638016497,0.49032647041896693,0.5484,0.5936640633593664,0.7190247801758594,0.6503584985238297,7506.0,0.47540160642570284,0.26934015927189986,0.3438634713144517,3516.0,0.4804697472555527,0.47310206133735544,0.47675744141861937,3978.0
full_with_decision_adjustment,fold_2,45000,15000,15000,1067-10-27 00:01:34+00:00,1067-11-03 13:40:09+00:00,94,158,True,0.5001677101157969,0.457401149335182,0.524,0.5667533593411357,0.7093449070934491,0.6300825251490874,7373.0,0.4128009395184968,0.19041170097508126,0.2606116774791474,3692.0,0.47358073236667486,0.489707750952986,0.4815092453773113,3935.0
