fold,class,feature,mean_abs_shap,sample_users
fold_1,not_churned,purchase_amount_max,0.006498764973170441,1500
fold_1,not_churned,purchase_first_day,2.2692052491916208e-05,1500
fold_1,not_churned,purchase_last_day,0.006557642790416766,1500
fold_1,not_churned,purchase_type_nunique,0.00038044803032781976,1500
fold_1,not_churned,purchase_last_type,0.018110552985330965,1500
fold_1,not_churned,purchase_count_d1,0.0010321290080187687,1500
fold_1,not_churned,purchase_spend_d1,0.018267605428834,1500
fold_1,not_churned,purchase_count_d3,1.2184874441368931e-05,1500
fold_1,not_churned,purchase_spend_d3,0.009601685278233168,1500
fold_1,not_churned,purchase_count_d7,0.00400768830234546,1500
fold_1,not_churned,purchase_spend_d7,0.009570867373489812,1500
fold_1,not_churned,purchase_count_d14,0.0006697603860665057,1500
fold_1,not_churned,purchase_spend_d14,0.006777666530599315,1500
fold_1,not_churned,purchase_span_days,0.0002942263045667954,1500
fold_1,not_churned,attempts_per_purchase,0.0,1500
fold_1,not_churned,failures_per_purchase,0.003585258805448384,1500
fold_1,not_churned,spend_per_attempt,0.004745020017026196,1500
fold_1,not_churned,purchase_attempt_gap,0.0005609913578030627,1500
fold_1,not_churned,activity_days_total,0.0009219985312322604,1500
fold_1,vol_churn,subscription_plan,0.048578717981638625,1500
fold_1,vol_churn,country_code,0.13726291412229516,1500
fold_1,vol_churn,signup_weekday,0.014192271644142645,1500
fold_1,vol_churn,signup_hour,0.01122046483942854,1500
fold_1,vol_churn,signup_is_weekend,0.012108379705087073,1500
fold_1,vol_churn,quiz_rows,0.0,1500
fold_1,vol_churn,quiz_missing_answers,0.0050329352899476775,1500
fold_1,vol_churn,quiz_answered,0.003818231006555364,1500
fold_1,vol_churn,quiz_source,0.020823379881389256,1500
fold_1,vol_churn,quiz_flow_type,0.0023877727491165893,1500
fold_1,vol_churn,quiz_team_size,0.04153932330665884,1500
fold_1,vol_churn,quiz_experience,0.01835156992388472,1500
fold_1,vol_churn,quiz_usage_plan,0.014167623807056008,1500
fold_1,vol_churn,quiz_frustration,0.044476873967680366,1500
fold_1,vol_churn,quiz_first_feature,0.01043980807544985,1500
fold_1,vol_churn,quiz_role,0.01862536978374123,1500
fold_1,vol_churn,quiz_cost_concern,0.0018043632150411906,1500
fold_1,vol_churn,attempt_count,0.0,1500
fold_1,vol_churn,attempt_unique_transactions,0.00032496982593191546,1500
fold_1,vol_churn,attempt_active_days,8.945143995579319e-05,1500
fold_1,vol_churn,attempt_success_count,0.0009785748202578502,1500
fold_1,vol_churn,attempt_failure_count,0.0,1500
fold_1,vol_churn,attempt_failure_rate,0.0,1500
fold_1,vol_churn,attempt_amount_sum,0.007723264155648715,1500
fold_1,vol_churn,attempt_amount_mean,0.008040688833282088,1500
fold_1,vol_churn,attempt_amount_std,0.0016016595202877854,1500
fold_1,vol_churn,attempt_amount_max,0.004787499997521765,1500
fold_1,vol_churn,attempt_first_day,5.75554580578949e-05,1500
fold_1,vol_churn,attempt_last_day,0.016349773928800545,1500
fold_1,vol_churn,attempt_night_rate,0.0009467345264641029,1500
fold_1,vol_churn,attempt_weekend_rate,0.006423100303492197,1500
fold_1,vol_churn,attempt_distinct_failures,0.0006092749638432572,1500
fold_1,vol_churn,attempt_distinct_cards,0.0006774747784154539,1500
fold_1,vol_churn,attempt_distinct_banks,0.002595976844652556,1500
fold_1,vol_churn,attempt_distinct_card_countries,0.0019429707819321948,1500
fold_1,vol_churn,attempt_count_d1,0.006288563044784863,1500
fold_1,vol_churn,attempt_failures_d1,0.0,1500
fold_1,vol_churn,attempt_count_d3,0.0019102502524646027,1500
fold_1,vol_churn,attempt_failures_d3,0.0005640183812681609,1500
fold_1,vol_churn,attempt_count_d7,0.003195635392662756,1500
fold_1,vol_churn,attempt_failures_d7,0.0,1500
fold_1,vol_churn,attempt_count_d14,0.0003309296710987497,1500
fold_1,vol_churn,attempt_failures_d14,0.00035009009772551274,1500
fold_1,vol_churn,failure_card_declined_count,0.0006046364115879551,1500
fold_1,vol_churn,failure_insufficient_funds_count,0.0,1500
fold_1,vol_churn,failure_incorrect_cvc_count,0.0,1500
fold_1,vol_churn,failure_expired_card_count,1.4520029446086856e-06,1500
fold_1,vol_churn,failure_authentication_required_count,0.0,1500
fold_1,vol_churn,failure_do_not_honor_count,0.0,1500
fold_1,vol_churn,failure_processing_error_count,0.0,1500
fold_1,vol_churn,failure_generic_decline_count,0.0,1500
fold_1,vol_churn,is_3d_secure_rate,0.0087329968555659,1500
fold_1,vol_churn,is_3d_secure_authenticated_rate,0.008108569574380683,1500
fold_1,vol_churn,is_prepaid_rate,0.0009405042876890982,1500
fold_1,vol_churn,is_virtual_rate,0.008833248823984065,1500
fold_1,vol_churn,is_business_rate,0.019031457348639036,1500
fold_1,vol_churn,attempt_last_billing_address_country,0.08706215518306455,1500
fold_1,vol_churn,attempt_last_card_3d_secure_support,0.17035050537744878,1500
fold_1,vol_churn,attempt_last_card_brand,0.023552498203120432,1500
fold_1,vol_churn,attempt_last_card_country,0.09628693895096407,1500
fold_1,vol_churn,attempt_last_card_funding,0.023350044124987732,1500
fold_1,vol_churn,attempt_last_cvc_check,0.010769192361545544,1500
fold_1,vol_churn,attempt_last_digital_wallet,0.009362166474388959,1500
fold_1,vol_churn,attempt_last_payment_method_type,0.0,1500
fold_1,vol_churn,attempt_last_bank_name,0.10223633099677439,1500
fold_1,vol_churn,attempt_last_bank_country,0.008881037359479961,1500
fold_1,vol_churn,attempt_last_failure_code,0.0063294293825082,1500
fold_1,vol_churn,attempt_span_days,0.003170994290342336,1500
fold_1,vol_churn,attempt_success_rate,0.0,1500
fold_1,vol_churn,purchase_count,0.0,1500
fold_1,vol_churn,purchase_unique_transactions,0.0,1500
fold_1,vol_churn,purchase_active_days,3.7122323195580936e-05,1500
fold_1,vol_churn,purchase_amount_sum,0.0020719055014446538,1500
fold_1,vol_churn,purchase_amount_mean,0.003576143781010184,1500
fold_1,vol_churn,purchase_amount_std,0.001708459587973099,1500
fold_1,vol_churn,purchase_amount_max,0.005908412882868288,1500
fold_1,vol_churn,purchase_first_day,2.5600923321213332e-05,1500
fold_1,vol_churn,purchase_last_day,0.004710688826197154,1500
fold_1,vol_churn,purchase_type_nunique,5.834443103827139e-05,1500
fold_1,vol_churn,purchase_last_type,0.013808920887944102,1500
